Date,Price,Open,High,Low,Vol.,Change %,log_price,log_return,pct_return
2018-02-06,997.75,981.00,998.50,979.25,101.20K,1.68%,6.905502743928843,0.016675474832225312,0.01681528662420373
2018-02-07,994.25,999.50,"1,005.00",993.00,114.11K,-0.35%,6.9019886840878,-0.003514059841043249,-0.0035078927587071096
2018-02-08,998.75,994.00,"1,006.50",989.00,144.20K,0.45%,6.906504497080484,0.0045158129926843316,0.004526024641689608
2018-02-09,993.5,998.50,"1,000.50",990.50,113.34K,-0.53%,6.901234061991872,-0.0052704350886125795,-0.005256570713391695
2018-02-12,1012.5,"1,005.25","1,014.75","1,000.00",124.04K,1.91%,6.920177798980694,0.018943736988822124,0.019124308002013146
2018-02-13,1022.25,"1,011.50","1,024.00","1,009.75",118.19K,0.96%,6.929761359244751,0.009583560264057489,0.009629629629629655
2018-02-14,1027.75,"1,022.00","1,030.00","1,016.50",108.79K,0.54%,6.935127225777988,0.005365866533236563,0.005380288579114767
2018-02-15,1035.0,"1,027.00","1,035.50","1,026.25",112.15K,0.71%,6.942156705699469,0.007029479921481396,0.007054244709316482
2018-02-16,1032.5,"1,034.25","1,039.00","1,023.00",121.40K,-0.24%,6.939738324835187,-0.0024183808642819216,-0.0024154589371980784
2018-02-18,1021.25,"1,021.25","1,021.25","1,021.25",,-1.09%,6.928782646174213,-0.010955678660974577,-0.010895883777239712
2018-02-19,1021.25,"1,021.25","1,021.25","1,021.25",,0.00%,6.928782646174213,0.0,0.0
2018-02-20,1037.5,"1,041.75","1,050.00","1,035.50",170.57K,1.59%,6.944569252104853,0.015786605930640185,0.01591187270501826
2018-02-21,1045.5,"1,038.75","1,049.00","1,030.25",144.25K,0.77%,6.952250518868688,0.007681266763834849,0.007710843373494036
2018-02-22,1043.25,"1,045.00","1,048.25","1,038.25",117.33K,-0.22%,6.950096119471662,-0.0021543993970256636,-0.002152080344332896
2018-02-23,1047.5,"1,042.25","1,050.75","1,039.25",178.33K,0.41%,6.9541616517962925,0.004065532324630361,0.004073807812125629
2018-02-26,1046.0,"1,054.00","1,059.50","1,045.75",207.44K,-0.14%,6.952728644624869,-0.0014330071714239168,-0.0014319809069212042
2018-02-27,1049.5,"1,046.25","1,056.00","1,043.75",171.76K,0.33%,6.956069139260688,0.0033404946358190912,0.0033460803059273125
2018-02-28,1055.5,"1,049.00","1,059.00","1,045.75",131.92K,0.57%,6.961769867288376,0.005700728027687951,0.0057170080990947
2018-03-01,1068.0,"1,053.75","1,068.75","1,050.75",151.66K,1.18%,6.97354301952014,0.011773152231764783,0.011842728564661398
2018-03-02,1071.0,"1,067.75","1,082.50","1,063.75",178.58K,0.28%,6.976348070447749,0.002805050927608299,0.002808988764045006
2018-03-05,1077.5,"1,074.25","1,079.25","1,066.50",119.00K,0.61%,6.9823988219779025,0.006050751530153775,0.0060690943043884005
