target,feature,lag_days,correlation,abs_correlation,n_obs
coffee_c_return_pct,usd_brl,-186,0.006314462700007527,0.006314462700007527,2697
coffee_c_return_pct,usd_brl,-185,0.003959669710863761,0.003959669710863761,2712
coffee_c_return_pct,usd_brl,-184,0.02604909598780052,0.02604909598780052,2743
coffee_c_return_pct,usd_brl,-183,0.01437678648038162,0.01437678648038162,3520
coffee_c_return_pct,usd_brl,-182,0.0061720987864181676,0.0061720987864181676,4289
coffee_c_return_pct,usd_brl,-181,0.010703075124481544,0.010703075124481544,3583
coffee_c_return_pct,usd_brl,-180,0.01711885040011936,0.01711885040011936,2792
coffee_c_return_pct,usd_brl,-179,0.0005685523035495863,0.0005685523035495863,2706
coffee_c_return_pct,usd_brl,-178,0.003212371513110099,0.003212371513110099,2717
coffee_c_return_pct,usd_brl,-177,0.017055000215178372,0.017055000215178372,2753
coffee_c_return_pct,usd_brl,-176,0.021551152666027303,0.021551152666027303,3531
coffee_c_return_pct,usd_brl,-175,0.010039983490179786,0.010039983490179786,4298
coffee_c_return_pct,usd_brl,-174,0.02660119712090105,0.02660119712090105,3586
coffee_c_return_pct,usd_brl,-173,0.01660282464872236,0.01660282464872236,2799
coffee_c_return_pct,usd_brl,-172,0.001233803142614154,0.001233803142614154,2709
coffee_c_return_pct,usd_brl,-171,-0.0023761488933742225,0.0023761488933742225,2725
coffee_c_return_pct,usd_brl,-170,0.022813151886166456,0.022813151886166456,2761
coffee_c_return_pct,usd_brl,-169,0.01606013417930165,0.01606013417930165,3537
coffee_c_return_pct,usd_brl,-168,0.0075494826650274825,0.0075494826650274825,4299
coffee_c_return_pct,usd_brl,-167,0.013677306506423013,0.013677306506423013,3582
coffee_c_return_pct,usd_brl,-166,0.01726561063268913,0.01726561063268913,2800
coffee_c_return_pct,usd_brl,-165,0.002962576317040974,0.002962576317040974,2710
coffee_c_return_pct,usd_brl,-164,0.0069448192746786805,0.0069448192746786805,2725
coffee_c_return_pct,usd_brl,-163,0.022399517748283287,0.022399517748283287,2759
coffee_c_return_pct,usd_brl,-162,0.01737838312187385,0.01737838312187385,3541
coffee_c_return_pct,usd_brl,-161,0.01350143422377454,0.01350143422377454,4310
coffee_c_return_pct,usd_brl,-160,0.012851305614317637,0.012851305614317637,3589
coffee_c_return_pct,usd_brl,-159,0.022285674324272718,0.022285674324272718,2803
coffee_c_return_pct,usd_brl,-158,-0.0002459432183099635,0.0002459432183099635,2719
coffee_c_return_pct,usd_brl,-157,0.010148766256745177,0.010148766256745177,2733
coffee_c_return_pct,usd_brl,-156,0.02228606498564898,0.02228606498564898,2768
coffee_c_return_pct,usd_brl,-155,0.021455380649499884,0.021455380649499884,3545
coffee_c_return_pct,usd_brl,-154,0.015222750752139951,0.015222750752139951,4310
coffee_c_return_pct,usd_brl,-153,0.022561343598112297,0.022561343598112297,3594
coffee_c_return_pct,usd_brl,-152,0.021418615394875523,0.021418615394875523,2807
coffee_c_return_pct,usd_brl,-151,0.010159766128297883,0.010159766128297883,2719
coffee_c_return_pct,usd_brl,-150,0.005367219535299336,0.005367219535299336,2739
coffee_c_return_pct,usd_brl,-149,0.01759439991826942,0.01759439991826942,2771
coffee_c_return_pct,usd_brl,-148,0.02251600743596091,0.02251600743596091,3550
coffee_c_return_pct,usd_brl,-147,0.013912859117917517,0.013912859117917517,4313
coffee_c_return_pct,usd_brl,-146,0.021592670243413548,0.021592670243413548,3600
coffee_c_return_pct,usd_brl,-145,0.01943904387458946,0.01943904387458946,2813
coffee_c_return_pct,usd_brl,-144,0.009000795538290536,0.009000795538290536,2727
coffee_c_return_pct,usd_brl,-143,0.007208465032365155,0.007208465032365155,2743
coffee_c_return_pct,usd_brl,-142,0.021826571432076048,0.021826571432076048,2776
coffee_c_return_pct,usd_brl,-141,0.02763624725317148,0.02763624725317148,3553
coffee_c_return_pct,usd_brl,-140,0.0176760377976487,0.0176760377976487,4327
coffee_c_return_pct,usd_brl,-139,0.021040542436553438,0.021040542436553438,3609
coffee_c_return_pct,usd_brl,-138,0.018395406184611413,0.018395406184611413,2816
coffee_c_return_pct,usd_brl,-137,0.007614422734647769,0.007614422734647769,2729
coffee_c_return_pct,usd_brl,-136,0.008323549972633935,0.008323549972633935,2746
coffee_c_return_pct,usd_brl,-135,0.0246330830108812,0.0246330830108812,2782
coffee_c_return_pct,usd_brl,-134,0.018945098665652773,0.018945098665652773,3568
coffee_c_return_pct,usd_brl,-133,0.012534695687154299,0.012534695687154299,4325
coffee_c_return_pct,usd_brl,-132,0.016920539468755158,0.016920539468755158,3608
coffee_c_return_pct,usd_brl,-131,0.02144977408176835,0.02144977408176835,2820
coffee_c_return_pct,usd_brl,-130,0.007331721153728854,0.007331721153728854,2730
coffee_c_return_pct,usd_brl,-129,0.00913869797810009,0.00913869797810009,2749
