"Date","Price","Open","High","Low","Vol.","Change %"
"07/15/2010","1,017.88","994.38","1,021.63","993.88","","2.35%"
"07/14/2010","994.50","997.13","1,004.13","993.38","","-0.28%"
"07/13/2010","997.25","998.75","1,003.13","993.00","","-0.05%"
"07/12/2010","997.75","994.38","1,008.38","986.38","","0.25%"
"07/11/2010","995.25","994.75","995.25","987.88","","-0.06%"
"07/09/2010","995.88","982.38","997.63","978.38","","1.48%"
"07/08/2010","981.38","969.50","993.00","962.38","","1.20%"
"07/07/2010","969.75","942.75","971.50","942.63","","2.85%"
"07/06/2010","942.88","942.25","957.88","940.63","","0.13%"
"07/05/2010","941.63","945.63","945.63","938.63","","-0.42%"
"07/04/2010","945.63","945.63","945.63","945.63","","0.04%"
"07/02/2010","945.25","935.38","948.38","934.88","","1.00%"
"07/01/2010","935.88","934.75","938.13","926.50","","0.16%"
"06/30/2010","934.38","933.75","950.00","927.75","","0.15%"
"06/29/2010","933.00","931.13","942.50","931.13","","-1.41%"
"06/28/2010","946.38","941.00","946.38","937.63","","0.41%"
"06/25/2010","942.50","945.50","946.25","940.88","","0.27%"
"06/24/2010","940.00","949.75","950.38","940.00","","-0.54%"
"06/23/2010","945.13","952.75","953.88","945.13","","-1.28%"
"06/22/2010","957.38","955.63","961.88","955.63","","0.18%"
"06/21/2010","955.63","961.63","964.50","955.63","","0.55%"
"06/18/2010","950.38","947.25","953.63","946.75","","0.54%"
"06/17/2010","945.25","957.75","963.88","945.25","","-1.27%"
"06/16/2010","957.38","952.63","961.63","952.00","","0.55%"
"06/15/2010","952.13","950.50","961.63","947.38","","0.16%"
"06/14/2010","950.63","948.13","958.63","946.38","","0.24%"
"06/13/2010","948.38","945.13","949.38","945.13","","0.32%"
"06/11/2010","945.38","934.63","946.88","930.63","","1.10%"
"06/10/2010","935.13","945.50","951.88","930.63","","-1.11%"
"06/09/2010","945.63","928.63","951.50","927.00","","1.84%"
"06/08/2010","928.50","932.50","937.38","926.38","","-0.47%"
"06/07/2010","932.88","932.50","938.88","928.38","","0.11%"
"06/06/2010","931.88","933.38","934.88","931.25","","-0.32%"
"06/04/2010","934.88","956.38","956.38","931.63","","-2.24%"
"06/03/2010","956.25","935.63","958.38","935.50","","2.19%"
"06/02/2010","935.75","932.00","936.63","930.88","","0.42%"
"06/01/2010","931.88","940.75","943.63","930.63","","-0.96%"
"05/31/2010","940.88","942.63","942.88","939.50","","-0.19%"
"05/28/2010","942.63","953.63","953.88","936.63","","-1.23%"
"05/27/2010","954.38","943.75","956.13","939.88","","1.11%"
"05/26/2010","943.88","936.25","943.88","933.13","","0.88%"
"05/25/2010","935.63","940.63","940.88","927.63","","-0.52%"
"05/24/2010","940.50","942.50","951.88","937.75","","-0.20%"
"05/23/2010","942.38","941.50","943.88","941.25","","0.16%"
"05/21/2010","940.88","943.88","950.38","939.25","","-0.28%"
"05/20/2010","943.50","944.38","947.63","931.13","","-0.13%"
"05/19/2010","944.75","936.75","948.13","935.88","","0.87%"
"05/18/2010","936.63","945.25","949.38","936.63","","-0.82%"
"05/17/2010","944.38","954.50","954.63","938.13","","-1.10%"
"05/16/2010","954.88","954.38","954.88","952.75","","0.24%"
"05/14/2010","952.63","965.25","965.38","951.38","","-1.22%"
"05/13/2010","964.38","964.38","969.38","959.88","","-0.01%"
"05/12/2010","964.50","966.38","975.63","959.63","","-0.06%"
"05/11/2010","965.13","961.75","968.88","953.75","","0.34%"
"05/10/2010","961.88","961.13","968.88","960.13","","0.27%"
"05/09/2010","959.25","965.38","966.00","959.25","","-0.20%"
"05/07/2010","961.13","952.38","964.38","948.63","","0.93%"
"05/06/2010","952.25","978.50","982.25","948.63","","-2.70%"
"05/05/2010","978.63","987.50","992.63","976.25","","-0.89%"
"05/04/2010","987.38","985.75","990.38","974.13","","0.18%"
"05/03/2010","985.63","994.13","999.88","984.13","","-1.41%"
"04/30/2010","999.75","997.88","1,002.13","992.38","","0.18%"
"04/29/2010","998.00","994.25","1,006.13","993.63","","0.34%"
"04/28/2010","994.63","991.13","1,001.88","988.13","","0.34%"
"04/27/2010","991.25","1,007.50","1,011.38","988.63","","-1.60%"
"04/26/2010","1,007.38","1,014.88","1,019.88","1,006.38","","-0.76%"
"04/25/2010","1,015.13","1,005.13","1,015.13","1,005.13","","0.63%"
"04/23/2010","1,008.75","1,013.00","1,017.00","1,006.88","","-0.42%"
"04/22/2010","1,013.00","1,006.00","1,015.63","1,002.00","","0.71%"
"04/21/2010","1,005.88","996.75","1,015.38","993.38","","0.90%"
"04/20/2010","996.88","991.75","997.63","988.25","","0.53%"
"04/19/2010","991.63","994.38","994.63","982.13","","-0.29%"
"04/18/2010","994.50","991.75","994.75","991.13","","1.38%"
"04/16/2010","981.00","984.88","989.63","979.13","","-0.43%"
"04/15/2010","985.25","969.38","985.25","964.38","","1.80%"
"04/14/2010","967.88","974.38","975.88","964.88","","-0.05%"
"04/13/2010","968.38","956.00","972.13","955.00","","0.89%"
"04/12/2010","959.88","953.13","965.13","952.88","","0.73%"
"04/09/2010","952.88","954.13","963.75","947.38","","0.63%"
"04/08/2010","946.88","948.13","951.75","945.38","","-0.58%"
"04/07/2010","952.38","943.88","956.88","939.63","","0.82%"
"04/06/2010","944.63","936.38","944.63","933.63","","1.10%"
"04/05/2010","934.38","943.88","944.38","932.88","","-0.77%"
"04/01/2010","941.63","940.38","945.13","932.63","","0.13%"
"03/31/2010","940.38","973.63","973.63","930.88","","-3.46%"
"03/30/2010","974.13","969.13","974.13","960.38","","0.52%"
"03/29/2010","969.13","953.63","977.38","953.63","","1.52%"
"03/26/2010","954.63","942.13","954.63","941.88","","1.33%"
"03/25/2010","942.13","958.63","966.38","942.13","","-1.80%"
"03/24/2010","959.38","959.50","962.38","953.38","","-0.72%"
"03/23/2010","966.38","970.88","976.38","964.88","","-0.26%"
"03/22/2010","968.88","961.25","974.88","956.63","","0.79%"
"03/19/2010","961.25","960.13","961.25","952.38","","0.20%"
"03/18/2010","959.38","950.25","962.38","948.88","","0.05%"
"03/17/2010","958.88","945.63","962.13","942.13","","1.51%"
"03/16/2010","944.63","937.25","947.88","935.63","","1.42%"
"03/15/2010","931.38","924.88","933.00","922.13","","0.73%"
"03/12/2010","924.63","936.38","937.13","923.13","","-0.67%"
"03/11/2010","930.88","951.50","951.50","929.13","","-2.95%"
"03/10/2010","959.13","947.63","964.13","941.88","","1.27%"
"03/09/2010","947.13","949.88","949.88","935.38","","-0.29%"
"03/08/2010","949.88","943.88","951.38","943.88","","0.77%"
"03/05/2010","942.63","943.63","948.88","938.38","","0.03%"
"03/04/2010","942.38","961.63","962.88","937.63","","-2.32%"
"03/03/2010","964.75","963.25","971.38","962.25","","0.06%"
"03/02/2010","964.13","962.38","968.88","957.88","","0.04%"
"03/01/2010","963.75","966.63","967.63","953.88","","0.12%"
"02/26/2010","962.63","946.88","963.88","946.88","","1.57%"
"02/25/2010","947.75","962.38","962.38","942.63","","-1.52%"
"02/24/2010","962.38","959.88","969.38","952.13","","0.18%"
"02/23/2010","960.63","968.38","984.88","959.13","","-0.80%"
"02/22/2010","968.38","954.50","969.88","953.63","","2.43%"
"02/19/2010","945.38","941.38","948.38","937.13","","0.05%"
"02/18/2010","944.88","956.25","957.88","942.13","","-0.81%"
"02/17/2010","952.63","958.88","961.13","948.13","","-1.17%"
"02/16/2010","963.88","958.38","965.88","958.13","","1.90%"
"02/12/2010","945.88","931.63","946.38","926.13","","0.29%"
"02/11/2010","943.13","945.63","946.88","936.13","","0.53%"
"02/10/2010","938.13","924.75","939.50","919.75","","1.49%"
"02/09/2010","924.38","929.25","942.50","920.13","","-0.55%"
"02/08/2010","929.50","927.00","939.63","925.88","","1.40%"
"02/05/2010","916.63","914.88","921.13","909.13","","1.17%"
"02/04/2010","906.00","903.88","911.88","900.25","","-0.38%"
"02/03/2010","909.50","924.38","924.38","908.13","","-1.85%"
"02/02/2010","926.63","917.88","929.88","916.88","","1.70%"
"02/01/2010","911.13","915.63","924.38","909.63","","-0.48%"
"01/31/2010","915.50","915.50","915.50","915.50","","0.03%"
"01/29/2010","915.25","933.13","935.13","913.88","","-1.84%"
"01/28/2010","932.38","931.13","935.88","921.13","","0.13%"
"01/27/2010","931.13","948.38","948.38","928.75","","-1.82%"
