"Date","Price","Open","High","Low","Vol.","Change %"
"08/24/2021","5.230","5.230","5.230","5.230","","-2.24%"
"08/23/2021","5.350","5.350","5.350","5.350","","-0.37%"
"08/20/2021","5.370","5.370","5.370","5.370","","-0.19%"
"08/19/2021","5.380","5.380","5.380","5.380","","0.75%"
"08/18/2021","5.340","5.340","5.340","5.340","","1.91%"
"08/17/2021","5.240","5.240","5.240","5.240","","-0.19%"
"08/16/2021","5.250","5.250","5.250","5.250","","0.57%"
"08/13/2021","5.220","5.220","5.220","5.220","","0.00%"
"08/12/2021","5.220","5.220","5.220","5.220","","0.38%"
"08/11/2021","5.200","5.200","5.200","5.200","","0.58%"
"08/10/2021","5.170","5.170","5.170","5.170","","-0.77%"
"08/09/2021","5.210","5.210","5.210","5.210","","0.00%"
"08/06/2021","5.210","5.210","5.210","5.210","","0.77%"
"08/05/2021","5.170","5.170","5.170","5.170","","0.19%"
"08/04/2021","5.160","5.160","5.160","5.160","","-0.19%"
"08/03/2021","5.170","5.170","5.170","5.170","","0.58%"
"08/02/2021","5.140","5.140","5.140","5.140","","-0.58%"
"07/30/2021","5.170","5.170","5.170","5.170","","2.38%"
"07/29/2021","5.050","5.050","5.050","5.050","","-0.79%"
"07/28/2021","5.090","5.090","5.090","5.090","","-1.17%"
"07/27/2021","5.150","5.150","5.150","5.150","","0.00%"
"07/26/2021","5.150","5.150","5.150","5.150","","-0.58%"
"07/23/2021","5.180","5.180","5.180","5.180","","0.00%"
"07/22/2021","5.180","5.180","5.180","5.180","","0.39%"
"07/21/2021","5.160","5.160","5.160","5.160","","-0.58%"
"07/20/2021","5.190","5.190","5.190","5.190","","-0.76%"
"07/19/2021","5.230","5.230","5.230","5.230","","2.75%"
"07/16/2021","5.090","5.090","5.090","5.090","","0.00%"
"07/15/2021","5.090","5.090","5.090","5.090","","0.79%"
"07/14/2021","5.050","5.050","5.050","5.050","","-1.94%"
"07/13/2021","5.150","5.150","5.150","5.150","","0.19%"
"07/12/2021","5.140","5.140","5.140","5.140","","-1.72%"
"07/08/2021","5.230","5.230","5.230","5.230","","0.38%"
"07/07/2021","5.210","5.210","5.210","5.210","","0.58%"
"07/06/2021","5.180","5.180","5.180","5.180","","2.37%"
"07/05/2021","5.060","5.060","5.060","5.060","","0.80%"
"07/02/2021","5.020","5.020","5.020","5.020","","0.00%"
"07/01/2021","5.020","5.020","5.020","5.020","","1.41%"
"06/30/2021","4.950","4.950","4.950","4.950","","0.81%"
"06/29/2021","4.910","4.910","4.910","4.910","","0.20%"
"06/28/2021","4.900","4.900","4.900","4.900","","-0.61%"
"06/25/2021","4.930","4.930","4.930","4.930","","1.02%"
"06/24/2021","4.880","4.880","4.880","4.880","","-1.21%"
"06/23/2021","4.940","4.940","4.940","4.940","","0.00%"
"06/22/2021","4.940","4.940","4.940","4.940","","-1.20%"
"06/21/2021","5.000","5.000","5.000","5.000","","-0.99%"
"06/18/2021","5.050","5.050","5.050","5.050","","1.00%"
"06/17/2021","5.000","5.000","5.000","5.000","","-0.40%"
"06/16/2021","5.020","5.020","5.020","5.020","","0.00%"
"06/15/2021","5.020","5.020","5.020","5.020","","-0.59%"
"06/14/2021","5.050","5.050","5.050","5.050","","-0.79%"
"06/11/2021","5.090","5.090","5.090","5.090","","0.99%"
"06/10/2021","5.040","5.040","5.040","5.040","","0.00%"
"06/09/2021","5.040","5.040","5.040","5.040","","0.60%"
"06/08/2021","5.010","5.010","5.010","5.010","","0.00%"
"06/07/2021","5.010","5.010","5.010","5.010","","0.00%"
